Violation_ID,Seller_ID,Violation_Date,Violation_Year,Violation_Type,Severity_Level,Violation_Status,Reported_Source,Affected_Order_Count,Penalty_Amount,Fraud_Linked_Flag,Action_Taken,Resolved_Flag
V00026,2,2023-04-06,2023,Fraud Suspicion,High,Escalated,User,13,2612.68,1,Seller Suspended,0
V00027,2,2023-01-04,2023,Fraud Suspicion,Critical,Under Investigation,Internal Audit,3,3257.7,1,Listing Removed,1
V00028,2,2023-10-28,2023,Listing Misrepresentation,Critical,Escalated,System Detection,5,4270.51,1,No Action,0
V00029,2,2023-05-23,2023,Fraud Suspicion,High,Escalated,User,2,3205.8,1,Payout Hold,1
V00030,2,2023-01-07,2023,Fraud Suspicion,Medium,Under Investigation,Internal Audit,10,510.83,1,Warning Issued,1
V00031,2,2023-05-23,2023,Late Fulfillment,High,Under Investigation,Compliance Team,10,3925.19,0,Listing Removed,1
V00032,2,2024-02-09,2024,Listing Misrepresentation,High,Escalated,Internal Audit,3,1306.19,0,Payout Hold,0
V00033,2,2024-01-15,2024,Late Fulfillment,Low,Closed,Compliance Team,2,159.35,0,Listing Removed,1
V00034,2,2024-07-07,2024,Late Fulfillment,High,Closed,User,12,1817.77,0,Warning Issued,1
V00035,2,2024-12-14,2024,Late Fulfillment,Medium,Under Investigation,Internal Audit,3,1009.31,0,Warning Issued,0
V00036,2,2025-02-08,2025,Late Fulfillment,High,Closed,User,11,2596.4,0,Listing Removed,1
V00037,3,2021-07-13,2021,Fraud Suspicion,High,Escalated,System Detection,7,1617.12,1,Listing Removed,0
V00038,3,2021-10-10,2021,Counterfeit Risk,High,Closed,User,6,3720.0,0,Listing Removed,1
V00039,3,2021-02-06,2021,Fraud Suspicion,Critical,Open,User,4,5110.3,1,Listing Removed,0
V00040,3,2021-02-06,2021,Fraud Suspicion,High,Escalated,User,3,2464.92,1,Payout Hold,1
V00041,3,2021-10-22,2021,Fraud Suspicion,High,Open,User,13,1281.73,1,Listing Removed,0
V00042,3,2021-12-12,2021,Late Fulfillment,High,Open,Compliance Team,14,3130.47,0,Listing Removed,1
V00043,3,2022-02-09,2022,Policy Breach,Low,Closed,Internal Audit,6,84.98,0,No Action,1
V00044,3,2022-12-23,2022,Listing Misrepresentation,High,Escalated,Compliance Team,14,3896.36,1,Payout Hold,1
V00045,3,2022-08-17,2022,Fraud Suspicion,Critical,Under Investigation,Compliance Team,6,5740.31,1,Payout Hold,0
V00046,3,2022-10-17,2022,Fraud Suspicion,Medium,Closed,User,1,683.75,1,No Action,1
V00047,3,2022-11-05,2022,Late Fulfillment,Critical,Escalated,System Detection,1,4085.43,0,Payout Hold,0
V00048,3,2022-05-27,2022,Counterfeit Risk,Medium,Closed,User,6,564.29,0,Warning Issued,1
V00049,3,2023-02-23,2023,Fraud Suspicion,Critical,Open,User,9,2943.95,1,Seller Suspended,0
V00050,3,2023-11-21,2023,Listing Misrepresentation,Critical,Escalated,User,16,3453.16,0,Seller Suspended,1
V00051,3,2023-03-22,2023,Late Fulfillment,Critical,Closed,User,16,5502.07,1,Seller Suspended,1
V00052,3,2023-07-04,2023,Fraud Suspicion,Critical,Under Investigation,User,1,4812.78,1,Payout Hold,0
V00053,3,2024-02-25,2024,Fraud Suspicion,Critical,Escalated,System Detection,17,4552.11,1,Seller Suspended,1
V00054,3,2024-01-25,2024,Late Fulfillment,High,Escalated,User,6,3517.59,0,Payout Hold,1
V00055,3,2024-02-11,2024,Fraud Suspicion,High,Closed,Internal Audit,10,1364.33,1,Seller Suspended,1
V00056,3,2024-12-02,2024,Product Quality Issue,High,Open,User,12,2919.0,0,Seller Suspended,1
V00057,3,2024-01-26,2024,Policy Breach,High,Closed,User,10,1310.82,1,Listing Removed,1
V00058,3,2024-07-02,2024,Late Fulfillment,High,Under Investigation,System Detection,9,1780.81,1,Seller Suspended,0
V00059,3,2025-07-05,2025,Late Fulfillment,Critical,Open,Internal Audit,7,5506.75,0,Seller Suspended,0
V00060,3,2025-10-16,2025,Late Fulfillment,Medium,Closed,User,3,435.21,0,No Action,1
V00061,3,2025-07-01,2025,Counterfeit Risk,High,Under Investigation,User,19,2064.18,0,No Action,0
V00062,3,2025-01-06,2025,Fraud Suspicion,High,Under Investigation,User,14,2171.87,1,Seller Suspended,0
V00063,4,2021-08-23,2021,Late Fulfillment,High,Escalated,Internal Audit,17,3517.98,0,Warning Issued,0
V00064,4,2021-03-19,2021,Product Quality Issue,High,Closed,Internal Audit,15,2742.17,1,Payout Hold,1
V00065,4,2021-02-02,2021,Fraud Suspicion,High,Under Investigation,System Detection,7,2498.3,1,Payout Hold,0
V00066,4,2021-12-26,2021,Fraud Suspicion,Critical,Open,User,2,6656.98,1,Seller Suspended,0
V00067,4,2021-02-02,2021,Counterfeit Risk,High,Escalated,System Detection,7,1963.48,0,No Action,1
V00068,4,2022-04-09,2022,Product Quality Issue,Medium,Closed,User,1,1237.51,0,Listing Removed,1
V00069,4,2022-11-04,2022,Fraud Suspicion,Critical,Escalated,Internal Audit,2,4744.15,1,Payout Hold,0
V00070,4,2022-12-24,2022,Late Fulfillment,Critical,Under Investigation,Internal Audit,3,5901.63,0,Payout Hold,0
V00071,4,2022-07-21,2022,Late Fulfillment,Low,Closed,System Detection,6,138.34,0,Warning Issued,1
V00072,4,2023-05-27,2023,Fraud Suspicion,High,Open,User,12,3904.34,1,Seller Suspended,1
V00073,4,2023-10-17,2023,Product Quality Issue,High,Closed,System Detection,2,3954.8,0,No Action,1
V00074,4,2023-07-09,2023,Fraud Suspicion,Critical,Open,User,15,6992.19,1,Payout Hold,1
V00075,4,2023-01-08,2023,Fraud Suspicion,High,Closed,User,2,3422.46,1,Seller Suspended,1
V00076,4,2024-10-24,2024,Late Fulfillment,Medium,Under Investigation,System Detection,10,294.5,0,Warning Issued,0
V00077,4,2024-05-26,2024,Regulatory Non-Compliance,Low,Closed,System Detection,11,516.18,1,Listing Removed,1
V00078,4,2025-01-13,2025,Policy Breach,Medium,Open,Compliance Team,7,1371.43,0,Listing Removed,0
V00079,4,2025-07-02,2025,Fraud Suspicion,Critical,Escalated,Internal Audit,18,6862.49,1,Seller Suspended,0
V00080,4,2025-12-08,2025,Counterfeit Risk,Critical,Closed,User,8,7989.49,1,Seller Suspended,1
V00081,4,2025-11-04,2025,Counterfeit Risk,Critical,Escalated,Compliance Team,9,7437.02,1,Seller Suspended,0
V00082,4,2025-06-25,2025,Fraud Suspicion,Medium,Under Investigation,User,8,380.47,1,Listing Removed,1
V00083,4,2025-08-09,2025,Fraud Suspicion,Critical,Escalated,Internal Audit,3,4177.17,1,Payout Hold,1
V00084,5,2021-01-08,2021,Policy Breach,High,Closed,User,17,1833.9,1,Warning Issued,1
V00085,5,2021-02-02,2021,Fraud Suspicion,High,Closed,User,5,2153.99,1,Seller Suspended,1
V00086,5,2021-03-22,2021,Counterfeit Risk,Medium,Under Investigation,Compliance Team,18,1010.92,0,Warning Issued,1
V00087,5,2021-10-07,2021,Listing Misrepresentation,Critical,Under Investigation,User,3,6544.78,0,Seller Suspended,0
V00088,5,2022-11-10,2022,Policy Breach,High,Closed,System Detection,3,2704.91,0,Payout Hold,1
V00089,5,2022-07-15,2022,Product Quality Issue,High,Open,Compliance Team,2,3398.77,0,Warning Issued,0
V00090,5,2022-09-10,2022,Late Fulfillment,Medium,Closed,Compliance Team,12,1074.04,0,Listing Removed,1
V00091,5,2023-02-10,2023,Late Fulfillment,Critical,Open,System Detection,11,4472.98,1,Listing Removed,0
V00092,5,2023-10-03,2023,Fraud Suspicion,High,Under Investigation,System Detection,6,1539.41,1,Warning Issued,1
V00093,5,2023-03-08,2023,Late Fulfillment,High,Open,Compliance Team,11,3053.32,1,Warning Issued,0
V00094,5,2024-01-23,2024,Regulatory Non-Compliance,Critical,Open,Internal Audit,2,7171.74,0,Seller Suspended,0
V00095,5,2024-02-03,2024,Product Quality Issue,Medium,Open,Compliance Team,13,962.96,0,Warning Issued,0
V00096,5,2024-07-10,2024,Late Fulfillment,Medium,Closed,System Detection,9,760.17,0,Warning Issued,1
V00097,5,2024-05-20,2024,Counterfeit Risk,Medium,Under Investigation,User,5,989.03,0,Warning Issued,0
V00098,5,2025-04-13,2025,Counterfeit Risk,High,Escalated,Compliance Team,5,1231.93,0,Warning Issued,0
V00099,5,2025-10-21,2025,Listing Misrepresentation,High,Closed,Internal Audit,9,2416.99,0,Warning Issued,1
V00100,5,2025-05-07,2025,Late Fulfillment,Medium,Closed,User,5,1185.24,1,Listing Removed,1
V00101,5,2025-12-14,2025,Listing Misrepresentation,High,Closed,User,12,2346.9,0,Payout Hold,1
V00102,5,2025-03-18,2025,Fraud Suspicion,Critical,Escalated,System Detection,7,5830.5,1,Seller Suspended,0
V00103,6,2021-07-17,2021,Regulatory Non-Compliance,Medium,Closed,Compliance Team,1,1374.84,0,No Action,1
V00104,6,2021-02-14,2021,Late Fulfillment,Medium,Escalated,User,6,408.0,0,No Action,0
V00105,6,2022-03-17,2022,Fraud Suspicion,Critical,Under Investigation,System Detection,3,5563.17,1,Payout Hold,1
V00106,6,2022-06-19,2022,Counterfeit Risk,High,Escalated,System Detection,14,3732.02,1,No Action,0
V00107,6,2022-08-23,2022,Fraud Suspicion,Medium,Escalated,Compliance Team,11,354.74,1,No Action,0
V00108,6,2023-07-11,2023,Product Quality Issue,High,Open,Internal Audit,16,2023.35,0,Listing Removed,0
V00109,6,2023-07-10,2023,Late Fulfillment,Medium,Closed,Internal Audit,10,513.35,1,No Action,1
V00110,6,2023-10-11,2023,Fraud Suspicion,Critical,Under Investigation,Compliance Team,5,3431.26,1,Payout Hold,0
V00111,6,2023-02-08,2023,Late Fulfillment,Medium,Closed,Compliance Team,10,1378.18,0,Warning Issued,1
V00112,6,2023-04-01,2023,Policy Breach,Medium,Closed,Internal Audit,16,407.72,1,Listing Removed,1
V00113,6,2023-12-23,2023,Late Fulfillment,Critical,Open,System Detection,17,4031.49,0,Listing Removed,1
V00114,6,2024-04-24,2024,Late Fulfillment,Low,Closed,System Detection,2,441.31,0,Listing Removed,1
V00115,6,2024-12-11,2024,Policy Breach,Low,Under Investigation,User,6,312.78,0,No Action,1
V00116,6,2024-11-02,2024,Policy Breach,Medium,Under Investigation,User,3,1340.14,0,Payout Hold,0
V00117,6,2025-03-24,2025,Late Fulfillment,High,Closed,User,8,1642.57,1,Seller Suspended,1
V00118,6,2025-10-07,2025,Counterfeit Risk,High,Closed,Internal Audit,15,2046.11,0,Listing Removed,1
V00119,6,2025-05-27,2025,Fraud Suspicion,Critical,Closed,User,16,4124.79,1,Payout Hold,1
V00120,6,2025-05-14,2025,Listing Misrepresentation,High,Closed,System Detection,12,1340.61,1,Listing Removed,1
V00121,6,2025-08-27,2025,Product Quality Issue,High,Escalated,System Detection,5,1182.41,1,Seller Suspended,0
V00122,6,2025-07-26,2025,Listing Misrepresentation,Critical,Escalated,User,7,7001.89,1,Payout Hold,0
V00123,7,2021-09-07,2021,Counterfeit Risk,Critical,Open,User,8,7726.53,0,Payout Hold,1
V00124,7,2021-06-12,2021,Product Quality Issue,High,Under Investigation,Internal Audit,16,1470.98,0,Listing Removed,0
V00125,7,2021-03-12,2021,Late Fulfillment,High,Open,User,8,3821.07,0,Warning Issued,0
V00126,7,2021-03-10,2021,Late Fulfillment,High,Under Investigation,System Detection,3,3352.16,1,Listing Removed,1
V00127,7,2022-02-03,2022,Fraud Suspicion,High,Escalated,Compliance Team,10,1044.23,1,Payout Hold,0
V00128,7,2022-12-19,2022,Late Fulfillment,High,Under Investigation,User,4,1070.3,1,Payout Hold,0
V00129,7,2022-11-19,2022,Late Fulfillment,Low,Closed,Internal Audit,5,544.6,0,Listing Removed,1
V00130,7,2022-01-16,2022,Regulatory Non-Compliance,High,Closed,System Detection,8,1074.68,0,Payout Hold,1
V00131,7,2022-08-19,2022,Fraud Suspicion,High,Open,Internal Audit,5,3594.48,1,Listing Removed,0
V00132,7,2023-09-24,2023,Policy Breach,Low,Closed,User,13,500.59,0,No Action,1
V00133,7,2023-10-14,2023,Late Fulfillment,Medium,Closed,User,9,1449.34,0,Listing Removed,1
V00134,7,2023-08-17,2023,Policy Breach,High,Under Investigation,User,10,1381.85,0,Warning Issued,0
V00135,7,2023-04-15,2023,Counterfeit Risk,Critical,Closed,Compliance Team,8,3269.26,0,Payout Hold,1
V00136,7,2023-01-10,2023,Fraud Suspicion,Critical,Escalated,User,17,3991.09,1,Seller Suspended,0
V00137,7,2023-03-05,2023,Policy Breach,Critical,Under Investigation,User,7,5096.61,0,Seller Suspended,1
V00138,7,2024-03-17,2024,Product Quality Issue,Medium,Under Investigation,Compliance Team,1,838.12,0,Warning Issued,1
V00139,7,2025-12-04,2025,Listing Misrepresentation,Low,Under Investigation,User,9,335.49,0,Warning Issued,1
V00140,8,2021-05-27,2021,Listing Misrepresentation,High,Escalated,System Detection,4,2683.34,0,No Action,0
V00141,8,2021-02-24,2021,Fraud Suspicion,High,Escalated,User,13,3298.16,1,Payout Hold,0
V00142,8,2021-05-26,2021,Product Quality Issue,Critical,Open,Compliance Team,10,3690.44,1,Payout Hold,0
V00143,8,2021-08-28,2021,Fraud Suspicion,Low,Under Investigation,Internal Audit,6,255.24,1,No Action,1
V00144,8,2021-04-18,2021,Policy Breach,High,Escalated,System Detection,4,1234.6,0,Listing Removed,0
V00145,8,2022-05-23,2022,Late Fulfillment,Medium,Closed,User,10,563.17,0,Seller Suspended,1
V00146,8,2022-11-12,2022,Late Fulfillment,High,Escalated,Internal Audit,7,2037.97,0,Seller Suspended,1
V00147,8,2022-04-13,2022,Late Fulfillment,High,Escalated,User,7,2082.97,0,Listing Removed,0
V00148,8,2023-05-17,2023,Product Quality Issue,High,Escalated,User,10,1822.52,1,Seller Suspended,0
V00149,8,2023-12-16,2023,Product Quality Issue,High,Escalated,User,1,3422.29,0,Seller Suspended,1
V00150,8,2023-03-23,2023,Policy Breach,Medium,Closed,User,3,1046.85,0,Warning Issued,1
V00151,8,2023-09-09,2023,Late Fulfillment,High,Escalated,System Detection,16,1949.44,1,Seller Suspended,0
V00152,8,2023-06-17,2023,Fraud Suspicion,High,Under Investigation,User,13,1184.45,1,Payout Hold,0
V00153,8,2024-02-06,2024,Late Fulfillment,Medium,Under Investigation,User,6,1297.32,0,No Action,0
V00154,8,2024-06-15,2024,Policy Breach,High,Open,User,11,3188.65,0,Warning Issued,1
V00155,8,2024-03-26,2024,Fraud Suspicion,High,Closed,User,13,3829.71,1,Seller Suspended,1
V00156,8,2024-04-24,2024,Late Fulfillment,Low,Under Investigation,User,4,189.32,0,Warning Issued,1
V00157,8,2024-03-10,2024,Fraud Suspicion,Critical,Closed,User,12,6030.04,1,Payout Hold,1
V00158,9,2021-01-27,2021,Late Fulfillment,Medium,Closed,User,5,1102.52,0,Payout Hold,1
V00159,9,2022-02-17,2022,Late Fulfillment,High,Open,User,11,1559.28,1,Payout Hold,0
V00160,9,2022-07-22,2022,Counterfeit Risk,High,Escalated,User,12,2264.22,0,Warning Issued,0
V00161,9,2022-06-10,2022,Fraud Suspicion,High,Escalated,Internal Audit,13,2849.84,1,Payout Hold,1
V00162,9,2022-08-27,2022,Fraud Suspicion,High,Closed,User,17,2203.46,1,Payout Hold,1
V00163,9,2022-04-25,2022,Regulatory Non-Compliance,Medium,Under Investigation,User,4,991.35,0,Payout Hold,0
V00164,9,2023-10-25,2023,Late Fulfillment,High,Escalated,System Detection,3,1271.2,0,Warning Issued,0
V00165,9,2023-07-06,2023,Product Quality Issue,High,Under Investigation,User,15,1922.58,0,Listing Removed,0
V00166,9,2023-12-08,2023,Late Fulfillment,High,Escalated,User,10,1477.99,0,Warning Issued,0
V00167,9,2023-04-16,2023,Policy Breach,Critical,Escalated,User,14,3027.04,0,Seller Suspended,0
V00168,9,2024-05-27,2024,Policy Breach,High,Closed,System Detection,14,2040.6,0,Payout Hold,1
V00169,9,2024-01-08,2024,Regulatory Non-Compliance,Low,Closed,User,9,300.87,0,Warning Issued,1
V00170,9,2025-02-21,2025,Fraud Suspicion,High,Open,User,4,1278.55,1,Listing Removed,0
V00171,9,2025-05-13,2025,Product Quality Issue,Medium,Under Investigation,User,15,896.69,0,Listing Removed,0
V00172,9,2025-12-04,2025,Listing Misrepresentation,Critical,Open,User,13,6274.64,1,Payout Hold,0
V00173,9,2025-07-25,2025,Fraud Suspicion,Medium,Open,Internal Audit,15,1385.26,1,No Action,1
V00174,9,2025-09-12,2025,Fraud Suspicion,Critical,Escalated,Compliance Team,14,2538.26,1,Listing Removed,0
V00175,9,2025-09-27,2025,Fraud Suspicion,High,Open,Compliance Team,13,2101.31,1,Payout Hold,0
V00176,10,2021-11-10,2021,Policy Breach,Low,Closed,Internal Audit,5,250.24,0,Warning Issued,1
V00177,10,2021-01-20,2021,Late Fulfillment,Medium,Closed,System Detection,3,469.04,0,Listing Removed,1
V00178,10,2022-11-16,2022,Late Fulfillment,Critical,Under Investigation,System Detection,11,7092.05,0,Seller Suspended,0
V00179,10,2022-02-11,2022,Late Fulfillment,Critical,Escalated,User,19,7891.47,0,Payout Hold,1
V00180,10,2022-07-13,2022,Fraud Suspicion,Critical,Under Investigation,Compliance Team,9,7356.09,1,Seller Suspended,0
V00181,10,2022-04-19,2022,Fraud Suspicion,High,Closed,User,19,2720.01,1,Warning Issued,1
V00182,10,2022-05-24,2022,Late Fulfillment,High,Under Investigation,User,5,1854.74,1,Listing Removed,1
V00183,10,2023-03-09,2023,Late Fulfillment,Medium,Escalated,User,5,526.65,0,Warning Issued,0
V00184,10,2023-05-24,2023,Product Quality Issue,High,Closed,Internal Audit,13,1986.26,0,Payout Hold,1
V00185,10,2023-01-11,2023,Late Fulfillment,Medium,Closed,User,10,1178.21,0,Listing Removed,1
V00186,10,2024-05-13,2024,Fraud Suspicion,Critical,Escalated,User,5,5587.29,1,Seller Suspended,1
V00187,10,2024-06-10,2024,Listing Misrepresentation,High,Closed,User,19,2054.88,1,Listing Removed,1
V00188,10,2024-01-25,2024,Product Quality Issue,High,Escalated,Compliance Team,3,2821.37,1,Listing Removed,0
V00189,10,2024-02-19,2024,Fraud Suspicion,High,Escalated,User,5,2650.21,1,No Action,1
V00190,10,2024-05-11,2024,Policy Breach,High,Closed,Internal Audit,5,2506.91,0,Payout Hold,1
V00191,10,2024-07-16,2024,Late Fulfillment,Critical,Escalated,Compliance Team,15,2518.36,1,Payout Hold,0
V00192,10,2025-07-19,2025,Policy Breach,Critical,Under Investigation,User,14,5903.82,0,Seller Suspended,1
V00193,10,2025-10-19,2025,Policy Breach,Critical,Under Investigation,Internal Audit,3,5631.18,0,Payout Hold,0
V00194,10,2025-12-20,2025,Fraud Suspicion,High,Closed,User,9,3550.93,1,Seller Suspended,1
V00195,10,2025-04-06,2025,Product Quality Issue,High,Open,User,13,1194.44,0,Listing Removed,0
V00196,11,2022-10-15,2022,Policy Breach,Critical,Open,Compliance Team,3,4321.93,0,Seller Suspended,0
V00197,11,2022-02-01,2022,Policy Breach,Medium,Closed,Compliance Team,12,1228.8,0,Listing Removed,1
V00198,11,2022-09-04,2022,Product Quality Issue,Critical,Under Investigation,Compliance Team,11,2828.82,0,Seller Suspended,1
V00199,11,2023-06-13,2023,Policy Breach,High,Closed,User,5,1372.17,0,Payout Hold,1
V00200,11,2023-10-25,2023,Policy Breach,High,Under Investigation,User,9,1425.85,0,Payout Hold,0
V00201,11,2023-06-21,2023,Policy Breach,High,Escalated,User,12,3270.94,0,Seller Suspended,0
V00202,11,2024-12-09,2024,Product Quality Issue,Medium,Closed,User,6,610.54,0,Warning Issued,1
V00203,11,2024-06-23,2024,Late Fulfillment,High,Open,Internal Audit,5,2425.85,0,Payout Hold,1
V00204,11,2025-03-20,2025,Listing Misrepresentation,High,Under Investigation,User,12,2752.7,1,Listing Removed,1
V00205,11,2025-09-13,2025,Fraud Suspicion,Critical,Closed,Internal Audit,7,5256.02,1,Seller Suspended,1
V00206,11,2025-08-21,2025,Fraud Suspicion,High,Open,Compliance Team,6,1042.7,1,Seller Suspended,0
V00207,11,2025-04-05,2025,Fraud Suspicion,High,Escalated,Internal Audit,15,2069.5,1,Payout Hold,1
V00208,12,2021-12-07,2021,Counterfeit Risk,High,Closed,Compliance Team,11,3884.97,0,Listing Removed,1
V00209,12,2021-02-26,2021,Fraud Suspicion,High,Under Investigation,System Detection,13,3218.31,1,Listing Removed,0
V00210,12,2021-12-23,2021,Counterfeit Risk,High,Open,User,18,3492.08,0,Listing Removed,0
V00211,12,2021-01-07,2021,Fraud Suspicion,High,Closed,System Detection,7,2610.8,1,Payout Hold,1
V00212,12,2021-11-03,2021,Fraud Suspicion,High,Open,User,1,2794.88,1,Payout Hold,0
V00213,12,2022-12-15,2022,Policy Breach,Low,Closed,User,9,273.75,0,No Action,1
V00214,12,2023-08-21,2023,Fraud Suspicion,High,Closed,Compliance Team,6,1898.91,1,No Action,1
V00215,12,2023-05-22,2023,Listing Misrepresentation,Medium,Escalated,Compliance Team,10,649.01,0,Listing Removed,0
V00216,12,2023-02-25,2023,Listing Misrepresentation,Critical,Closed,System Detection,15,3504.61,0,Payout Hold,1
V00217,12,2023-04-10,2023,Listing Misrepresentation,High,Under Investigation,User,4,2713.03,1,Payout Hold,1
V00218,12,2023-03-28,2023,Fraud Suspicion,High,Under Investigation,Internal Audit,9,2421.33,1,Payout Hold,1
V00219,12,2025-05-16,2025,Fraud Suspicion,Critical,Escalated,Internal Audit,15,4194.09,1,Payout Hold,0
V00220,12,2025-07-02,2025,Listing Misrepresentation,Critical,Escalated,User,14,6373.86,0,Listing Removed,0
V00221,12,2025-06-01,2025,Policy Breach,Medium,Under Investigation,Compliance Team,3,878.68,0,Warning Issued,0
V00222,12,2025-06-24,2025,Policy Breach,High,Open,Compliance Team,10,3063.4,0,Payout Hold,0
V00223,13,2021-01-04,2021,Counterfeit Risk,Medium,Closed,Internal Audit,17,605.29,0,Listing Removed,1
V00224,13,2021-02-11,2021,Regulatory Non-Compliance,High,Escalated,Internal Audit,11,2769.42,0,Seller Suspended,0
V00225,13,2021-06-19,2021,Product Quality Issue,High,Closed,User,15,3068.71,0,Seller Suspended,1
V00226,13,2021-12-23,2021,Policy Breach,Critical,Under Investigation,User,7,6610.0,0,Seller Suspended,0
V00227,13,2021-06-11,2021,Late Fulfillment,Critical,Under Investigation,User,13,7629.75,0,Seller Suspended,0
V00228,13,2021-08-26,2021,Counterfeit Risk,High,Escalated,User,2,1048.6,0,Payout Hold,0
V00229,13,2022-09-16,2022,Late Fulfillment,Medium,Open,Internal Audit,3,365.18,0,Warning Issued,0
V00230,13,2022-09-28,2022,Policy Breach,High,Closed,User,11,1572.66,0,Payout Hold,1
V00231,13,2022-05-15,2022,Late Fulfillment,Critical,Escalated,System Detection,6,2901.64,0,Seller Suspended,0
V00232,13,2022-12-24,2022,Policy Breach,Medium,Open,Compliance Team,1,257.94,0,Payout Hold,0
V00233,13,2022-07-05,2022,Late Fulfillment,Medium,Closed,System Detection,13,822.19,0,Warning Issued,1
V00234,13,2023-06-23,2023,Fraud Suspicion,Low,Closed,System Detection,12,15.73,1,Warning Issued,1
V00235,13,2023-03-18,2023,Listing Misrepresentation,Low,Closed,User,3,394.9,0,No Action,1
V00236,13,2023-05-08,2023,Regulatory Non-Compliance,Low,Closed,Internal Audit,12,539.33,0,Warning Issued,1
V00237,13,2024-01-15,2024,Fraud Suspicion,Critical,Under Investigation,User,16,4912.01,1,Listing Removed,0
V00238,13,2024-02-03,2024,Regulatory Non-Compliance,High,Closed,User,20,1488.65,0,Payout Hold,1
V00239,13,2024-12-20,2024,Listing Misrepresentation,Critical,Under Investigation,Internal Audit,10,2999.35,0,Payout Hold,0
V00240,13,2024-08-01,2024,Counterfeit Risk,Critical,Under Investigation,Compliance Team,18,4450.75,0,Seller Suspended,0
V00241,13,2024-11-10,2024,Late Fulfillment,High,Closed,User,20,3627.83,0,Seller Suspended,1
V00242,13,2024-12-21,2024,Fraud Suspicion,Low,Under Investigation,User,10,311.17,1,Warning Issued,0
V00243,13,2025-12-22,2025,Product Quality Issue,Critical,Open,Compliance Team,12,3332.59,0,Payout Hold,0
V00244,13,2025-02-26,2025,Fraud Suspicion,High,Under Investigation,User,6,3726.94,1,Payout Hold,1
V00245,13,2025-06-01,2025,Counterfeit Risk,Critical,Open,Internal Audit,4,5791.79,0,Payout Hold,0
V00246,13,2025-04-03,2025,Counterfeit Risk,Critical,Under Investigation,Compliance Team,15,4922.29,0,Seller Suspended,0
V00247,14,2021-08-09,2021,Fraud Suspicion,High,Under Investigation,Internal Audit,12,3148.95,1,Payout Hold,1
V00248,14,2021-04-05,2021,Fraud Suspicion,Medium,Under Investigation,User,14,368.49,1,Warning Issued,0
V00249,14,2021-04-09,2021,Fraud Suspicion,High,Under Investigation,Internal Audit,9,3005.07,1,No Action,1
